Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,2011-11-21 13:00,2011,11,21,13,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 14:00,2011,11,21,14,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 15:00,2011,11,21,15,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 16:00,2011,11,21,16,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 17:00,2011,11,21,17,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 18:00,2011,11,21,18,81,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 19:00,2011,11,21,19,98,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 20:00,2011,11,21,20,96,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-21 21:00,2011,11,21,21,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 12:00,2011,11,22,12,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 13:00,2011,11,22,13,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 14:00,2011,11,22,14,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 15:00,2011,11,22,15,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 16:00,2011,11,22,16,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 17:00,2011,11,22,17,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 18:00,2011,11,22,18,89,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 19:00,2011,11,22,19,84,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 20:00,2011,11,22,20,77,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 21:00,2011,11,22,21,75,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 22:00,2011,11,22,22,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-22 23:00,2011,11,22,23,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 00:00,2011,11,23,0,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 01:00,2011,11,23,1,84,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 03:00,2011,11,23,3,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 04:00,2011,11,23,4,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 05:00,2011,11,23,5,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 06:00,2011,11,23,6,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 07:00,2011,11,23,7,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 08:00,2011,11,23,8,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 09:00,2011,11,23,9,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 10:00,2011,11,23,10,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 11:00,2011,11,23,11,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 12:00,2011,11,23,12,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 13:00,2011,11,23,13,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 14:00,2011,11,23,14,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 15:00,2011,11,23,15,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 16:00,2011,11,23,16,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 17:00,2011,11,23,17,65,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 18:00,2011,11,23,18,75,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 19:00,2011,11,23,19,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 20:00,2011,11,23,20,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 21:00,2011,11,23,21,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 22:00,2011,11,23,22,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-23 23:00,2011,11,23,23,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 00:00,2011,11,24,0,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 01:00,2011,11,24,1,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 02:00,2011,11,24,2,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 03:00,2011,11,24,3,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 04:00,2011,11,24,4,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 05:00,2011,11,24,5,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 06:00,2011,11,24,6,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 07:00,2011,11,24,7,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 08:00,2011,11,24,8,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 09:00,2011,11,24,9,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 10:00,2011,11,24,10,52,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 11:00,2011,11,24,11,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 12:00,2011,11,24,12,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 13:00,2011,11,24,13,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 14:00,2011,11,24,14,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 15:00,2011,11,24,15,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 16:00,2011,11,24,16,53,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 17:00,2011,11,24,17,46,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 18:00,2011,11,24,18,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 19:00,2011,11,24,19,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 20:00,2011,11,24,20,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 21:00,2011,11,24,21,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 22:00,2011,11,24,22,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-24 23:00,2011,11,24,23,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 00:00,2011,11,25,0,92,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 01:00,2011,11,25,1,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 02:00,2011,11,25,2,110,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 03:00,2011,11,25,3,89,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 04:00,2011,11,25,4,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 05:00,2011,11,25,5,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 06:00,2011,11,25,6,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 07:00,2011,11,25,7,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 08:00,2011,11,25,8,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 09:00,2011,11,25,9,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 10:00,2011,11,25,10,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 11:00,2011,11,25,11,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 12:00,2011,11,25,12,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 13:00,2011,11,25,13,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 14:00,2011,11,25,14,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 15:00,2011,11,25,15,53,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 16:00,2011,11,25,16,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 17:00,2011,11,25,17,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 18:00,2011,11,25,18,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 19:00,2011,11,25,19,77,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 20:00,2011,11,25,20,85,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 21:00,2011,11,25,21,84,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2011-11-25 22:00,2011,11,25,22,79,µg/m³,1 Hr,Valid
