Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2011-12-28 18:00,2011,12,28,18,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-28 19:00,2011,12,28,19,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-28 20:00,2011,12,28,20,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-28 21:00,2011,12,28,21,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-28 22:00,2011,12,28,22,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-28 23:00,2011,12,28,23,28,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 00:00,2011,12,29,0,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 01:00,2011,12,29,1,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 02:00,2011,12,29,2,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 03:00,2011,12,29,3,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 04:00,2011,12,29,4,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 05:00,2011,12,29,5,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 06:00,2011,12,29,6,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 07:00,2011,12,29,7,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 08:00,2011,12,29,8,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 09:00,2011,12,29,9,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 10:00,2011,12,29,10,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 11:00,2011,12,29,11,-999,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 12:00,2011,12,29,12,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 13:00,2011,12,29,13,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 14:00,2011,12,29,14,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 15:00,2011,12,29,15,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 16:00,2011,12,29,16,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 17:00,2011,12,29,17,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 18:00,2011,12,29,18,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 19:00,2011,12,29,19,126,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 20:00,2011,12,29,20,125,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 21:00,2011,12,29,21,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 22:00,2011,12,29,22,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-29 23:00,2011,12,29,23,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-30 00:00,2011,12,30,0,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-30 01:00,2011,12,30,1,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-30 02:00,2011,12,30,2,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-30 03:00,2011,12,30,3,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-30 04:00,2011,12,30,4,18,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-30 05:00,2011,12,30,5,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2011-12-30 06:00,2011,12,30,6,23,µg/m³,1 Hr,Valid
