Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,2013-04-22 13:00,2013,4,22,13,113,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 09:00,2013,4,23,9,74,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 10:00,2013,4,23,10,59,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 11:00,2013,4,23,11,69,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 12:00,2013,4,23,12,78,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 13:00,2013,4,23,13,101,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 14:00,2013,4,23,14,96,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 15:00,2013,4,23,15,100,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 16:00,2013,4,23,16,106,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 17:00,2013,4,23,17,131,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 18:00,2013,4,23,18,103,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 19:00,2013,4,23,19,101,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 20:00,2013,4,23,20,125,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 21:00,2013,4,23,21,154,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 22:00,2013,4,23,22,162,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-23 23:00,2013,4,23,23,163,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 00:00,2013,4,24,0,128,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 01:00,2013,4,24,1,138,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 02:00,2013,4,24,2,150,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 03:00,2013,4,24,3,148,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 04:00,2013,4,24,4,146,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 05:00,2013,4,24,5,137,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 06:00,2013,4,24,6,131,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 07:00,2013,4,24,7,127,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 08:00,2013,4,24,8,136,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 09:00,2013,4,24,9,105,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 10:00,2013,4,24,10,83,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 11:00,2013,4,24,11,69,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 12:00,2013,4,24,12,46,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 13:00,2013,4,24,13,35,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 14:00,2013,4,24,14,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 15:00,2013,4,24,15,20,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 16:00,2013,4,24,16,23,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 17:00,2013,4,24,17,15,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 18:00,2013,4,24,18,25,µg/m³,1 Hr,Valid
Shenyang,PM2.5,2013-04-24 19:00,2013,4,24,19,21,µg/m³,1 Hr,Valid
